WKT,OBJECTID,GUID_LC,IDPS,DC,CP,PS,KPL,RZP,RUP,TxLC,id_Plocha,Plocha,IDOLP,DP,PC,POZN,DRUH_POZ,TXDP_SKR,KODZTA,KL,plat,idjprl,CLHC,LHC,datum,text,Lesný_celo,ID_JPRL,ET,VEK,Druh_pozem,COLP,Výmera_JPR,OBH,KodOBH,Adresa_OBH,OLH,KodOLH,Shape_Leng,Shape_Area
"MULTIPOLYGON Z (((-456740.749299999 -1151576.1005 0,-456682.530000001 -1151595.2 0,-456659.4976 -1151600.2559 0,-456668.574099999 -1151618.3711 0,-456673.670299999 -1151626.7458 0,-456687.2513 -1151649.0643 0,-456707.738899998 -1151675.209 0,-456718.360300001 -1151685.6442 0,-456730.484499998 -1151690.0973 0,-456757.215399999 -1151692.2389 0,-456763.032299999 -1151692.0466 0,-456804.495900001 -1151701.2941 0,-456818.8246 -1151696.9698 0,-456825.545699999 -1151696.69 0,-456825.923799999 -1151689.9675 0,-456827.897799999 -1151673.3956 0,-456840.925999999 -1151665.2586 0,-456869.6481 -1151678.5329 0,-456862.7689 -1151574.9622 0,-456861.0002 -1151548.3333 0,-456837.3748 -1151549.8783 0,-456788.57 -1151553.07 0,-456741.329999998 -1151575.91 0,-456740.749299999 -1151576.1005 0)))","4",{7B30EE9F-F158-4687-B444-886FCAB9B70C},2019SL2412023c0,"2023",c,"0",SL241,"2019","2028",MAKOV-VYSOKÁ,{DEF702D9-916A-4760-9AF2-FFF525597C80},"22158.00000000000",,"0","0",,,,"1101",H,"1",2019SL2412023c0_,"149",ČADCA,2020/01/27,,MAKOV-VYSOKÁ,DEF702D9-916A-4760-9AF2-FFF525597C80,"0","15",Lesné porasty,"0","22158","LESY Slovenskej republiky, štátny podnik organizačná zložka OZ Sever, IČO: 36038351","192847","Nám. M.R. Štefánika 1, 011 45  Žilina","Mucha Pavol, Ing.","303472","625.45682674900","22157.89062730000"
"MULTIPOLYGON Z (((-459213.806699999 -1148918.0307 0,-459218.561000001 -1148920.5153 0,-459252.507800002 -1148898.9006 0,-459244.836300001 -1148889.7421 0,-459221.481800001 -1148903.0875 0,-459214.93 -1148909.6393 0,-459212.8301 -1148916.0231 0,-459213.806699999 -1148918.0307 0)))","6",{7B30EE9F-F158-4687-B444-886FCAB9B70C},,"0",,"0",SL241,"2019","2028",MAKOV-VYSOKÁ,{A095CA4C-118C-44A0-95E8-FFF39896B121},"496.00000000000",2019SL2410610038,"61","38",,PH,Pozemky slúžiace poľov. hosp.,"2301",,"1",2019SL2410610038,"149",ČADCA,2020/01/27,,MAKOV-VYSOKÁ,A095CA4C-118C-44A0-95E8-FFF39896B121,"0","0",Pozemky slúžiace poľovnému hospodáreniu,"38","496","Bobek Dušan, Ing.","214417","Azúrová 1070/21, 010 03  Žilina","Jantoš Jozef, Ing.","301569","102.67240105900","496.47028739300"
"MULTIPOLYGON Z (((-462559.011599999 -1153527.317 0,-462559.009 -1153527.4008 0,-462566.1149 -1153541.0205 0,-462578.254299998 -1153553.752 0,-462584.768100001 -1153554.0481 0,-462586.248500001 -1153547.5343 0,-462583.582199998 -1153512.3008 0,-462559.011599999 -1153527.317 0)))","15",{7B30EE9F-F158-4687-B444-886FCAB9B70C},,"0",,"0",SL241,"2019","2028",MAKOV-VYSOKÁ,{2C279C34-C1DE-480A-B881-FFE2BBA0E8C4},"678.00000000000",2019SL2410610094,"61","94",,PH,Pozemky slúžiace poľov. hosp.,"2301",,"1",2019SL2410610094,"149",ČADCA,2020/01/27,,MAKOV-VYSOKÁ,2C279C34-C1DE-480A-B881-FFE2BBA0E8C4,"0","0",Pozemky slúžiace poľovnému hospodáreniu,"94","678","Kysucká lesná spoločnosť s.r.o., IČO: 47002221","136960","Obchodná 177, 023 54  Turzovka","Ježík Tomáš, Ing.","303177","110.36769411100","678.06668421900"
"MULTIPOLYGON Z (((-459184.4956 -1156528.5962 0,-459191.159600001 -1156536.4859 0,-459206.901000001 -1156532.745 0,-459242.094500002 -1156511.7375 0,-459257.622400001 -1156504.8138 0,-459242.194800001 -1156488.6409 0,-459236.535300002 -1156479.1734 0,-459191.862399999 -1156497.8701 0,-459175.3409 -1156511.7828 0,-459184.4956 -1156528.5962 0)),((-459245.3983 -1156486.2041 0,-459260.758299999 -1156502.3062 0,-459261.8706 -1156503.3142 0,-459277.685600001 -1156492.3727 0,-459293.100200001 -1156515.3142 0,-459321.432999998 -1156506.5942 0,-459334.896200001 -1156492.7929 0,-459343.888700001 -1156472.4052 0,-459356.441799998 -1156458.7271 0,-459372.535300002 -1156456.6003 0,-459376.147500001 -1156436.6894 0,-459366.0649 -1156416.1288 0,-459293.492800001 -1156430.8082 0,-459285.030000001 -1156432.52 0,-459252.826200001 -1156449.7876 0,-459230.6646 -1156461.6707 0,-459233.243500002 -1156465.871 0,-459238.187899999 -1156474.1422 0,-459245.3983 -1156486.2041 0)))","16",{7B30EE9F-F158-4687-B444-886FCAB9B70C},2019SL2412391a2,"2391",a,"2",SL241,"2019","2028",MAKOV-VYSOKÁ,{A64242E3-E52A-488E-B755-FFDA7719B677},"10582.00000000000",,"0","0",,,,"1101",H,"1",2019SL2412391a2_,"149",ČADCA,2020/01/27,,MAKOV-VYSOKÁ,A64242E3-E52A-488E-B755-FFDA7719B677,"0","10",Lesné porasty,"0","10582","LESY Slovenskej republiky, štátny podnik organizačná zložka OZ Sever, IČO: 36038351","192847","Nám. M.R. Štefánika 1, 011 45  Žilina","Mucha Pavol, Ing.","303472","599.79548255000","10581.73160680000"
"MULTIPOLYGON Z (((-460191.73 -1150424.75 0,-460217.370000001 -1150414.62 0,-460236.3794 -1150410.1109 0,-460235.469999999 -1150402.09 0,-460228.760000002 -1150403.96 0,-460219.667300001 -1150405.7873 0,-460212.140000001 -1150407.3 0,-460209.920000002 -1150403.87 0,-460210.280000001 -1150400.2 0,-460211.059999999 -1150397.07 0,-460212.510000002 -1150394.23 0,-460215.239999998 -1150391.49 0,-460218.280000001 -1150390.02 0,-460221.91 -1150390.5 0,-460231.395300001 -1150388.6975 0,-460235.5449 -1150387.9089 0,-460237.280000001 -1150375.55 0,-460203.969999999 -1150385.67 0,-460204.170000002 -1150372.17 0,-460209.27 -1150349.86 0,-460215.800000001 -1150331.95 0,-460175.710000001 -1150343.22 0,-460177.82 -1150352.51 0,-460181.780000001 -1150371.83 0,-460188.920000002 -1150371.31 0,-460190.620000001 -1150390.85 0,-460196.359999999 -1150391.68 0,-460199.379999999 -1150398.86 0,-460201.09 -1150409.89 0,-460191.73 -1150424.75 0)))","17",{7B30EE9F-F158-4687-B444-886FCAB9B70C},,"0",,"0",SL241,"2019","2028",MAKOV-VYSOKÁ,{118BAAC3-2AC2-49AD-921A-FFD97FB8D748},"2184.00000000000",2019SL2410610042,"61","42",,PH,Pozemky slúžiace poľov. hosp.,"2301",,"1",2019SL2410610042,"149",ČADCA,2020/01/27,,MAKOV-VYSOKÁ,118BAAC3-2AC2-49AD-921A-FFD97FB8D748,"0","0",Pozemky slúžiace poľovnému hospodáreniu,"42","2184","LESY Slovenskej republiky, štátny podnik organizačná zložka OZ Sever, IČO: 36038351","192847","Nám. M.R. Štefánika 1, 011 45  Žilina","Mucha Pavol, Ing.","303472","360.79030580500","2184.62338277000"
"MULTIPOLYGON Z (((-457837.300500002 -1156959.2783 0,-457893.5145 -1156969.243 0,-457924.952599999 -1156974.8158 0,-457985.8906 -1156956.9153 0,-458000.6844 -1156920.5392 0,-458006.9254 -1156905.1935 0,-458008.7454 -1156900.7181 0,-458033.498399999 -1156905.118 0,-458040.945099998 -1156881.4406 0,-458025.554299999 -1156877.9208 0,-457995.9663 -1156871.1544 0,-457984.379299998 -1156904.2716 0,-457956.967300002 -1156892.0884 0,-457965.546999998 -1156864.1978 0,-457956.3541 -1156862.0955 0,-457898.958700001 -1156848.9698 0,-457881.6983 -1156866.7411 0,-457873.217799999 -1156884.2009 0,-457845.032699998 -1156921.3655 0,-457837.300500002 -1156959.2783 0)))","18",{7B30EE9F-F158-4687-B444-886FCAB9B70C},2019SL2412399b1,"2399",b,"1",SL241,"2019","2028",MAKOV-VYSOKÁ,{4655B567-BD2A-4021-A6A7-FFD694792E7F},"15108.00000000000",,"0","0",,,,"1105",H,"1",2019SL2412399b1_,"149",ČADCA,2020/01/27,,MAKOV-VYSOKÁ,4655B567-BD2A-4021-A6A7-FFD694792E7F,"0","85",Lesné porasty,"0","15108","K-TEN Drevo s.r.o., IČO: 36419397","103854","Makov 49, 023 56  Makov","Greguš Ľuboš, Ing.","301084","601.39174196400","15078.39978660000"
"MULTIPOLYGON Z (((-464552.5898 -1151825.8946 0,-464551.251600001 -1151826.077 0,-464528.5068 -1151826.077 0,-464527.294100001 -1151825.9277 0,-464527.118000001 -1151825.8837 0,-464527.780000001 -1151828.26 0,-464540.988000002 -1151841.1141 0,-464572.57 -1151871.85 0,-464578.878800001 -1151873.6803 0,-464597.775800001 -1151879.1628 0,-464604.969999999 -1151881.25 0,-464673.07 -1151871.94 0,-464682.170000002 -1151885.34 0,-464686.877500001 -1151901.9039 0,-464691.918900002 -1151832.8078 0,-464750.9485 -1151749.1326 0,-464715.127 -1151727.732 0,-464701.614999998 -1151725.9322 0,-464697.498599999 -1151726.4029 0,-464662.477400001 -1151755.6897 0,-464627.0854 -1151788.3592 0,-464626.653000001 -1151788.7156 0,-464599.700399999 -1151808.5036 0,-464598.858399998 -1151809.0029 0,-464577.933200002 -1151818.7832 0,-464577.154300001 -1151819.0711 0,-464552.5898 -1151825.8946 0)),((-464546.261500001 -1151714.4651 0,-464552.360399999 -1151737.9475 0,-464564.172400001 -1151735.4681 0,-464565.994600002 -1151741.2672 0,-464573.051100001 -1151748.673 0,-464572.951200001 -1151757.6095 0,-464571.955400001 -1151759.2651 0,-464562.935600001 -1151774.2603 0,-464565.4364 -1151786.6986 0,-464580.481600001 -1151806.8261 0,-464579.220600002 -1151812.6623 0,-464583.162 -1151810.8201 0,-464596.741300002 -1151804.4732 0,-464623.693999998 -1151784.6852 0,-464659.175999999 -1151751.9326 0,-464680.606199998 -1151734.0114 0,-464680.140299998 -1151725.5469 0,-464690.742600001 -1151708.6605 0,-464685.237799998 -1151700.9385 0,-464676.057500001 -1151694.2692 0,-464666.1987 -1151693.9808 0,-464661.096900001 -1151678.0409 0,-464640.8763 -1151668.5783 0,-464629.7344 -1151667.4676 0,-464615.506099999 -1151661.4079 0,-464602.671100002 -1151651.6972 0,-464591.717 -1151647.0366 0,-464590.671599999 -1151644.7064 0,-464583.563499998 -1151641.025 0,-464559.809099998 -1151641.5308 0,-464542.410100002 -1151652.6633 0,-464536.123599999 -1151658.7711 0,-464531.523200002 -1151670.5034 0,-464531.832600001 -1151675.3338 0,-464536.842099998 -1151689.0294 0,-464536.246100001 -1151692.0554 0,-464540.796300001 -1151704.3216 0,-464546.261500001 -1151714.4651 0)),((-464556.211100001 -1151487.373 0,-464547.5229 -1151540.0831 0,-464546.623399999 -1151545.5403 0,-464556.741099998 -1151547.1705 0,-464564.027800001 -1151550.0352 0,-464568.820099998 -1151550.9938 0,-464567.454399999 -1151546.2623 0,-464569.827 -1151536.5861 0,-464581.265099999 -1151540.0715 0,-464584.742400002 -1151546.4943 0,-464582.2564 -1151554.5384 0,-464586.803800002 -1151556.6796 0,-464598.040199999 -1151566.1525 0,-464616.670299999 -1151574.0925 0,-464627.986299999 -1151577.2169 0,-464636.072700001 -1151586.7682 0,-464650.018300001 -1151588.0155 0,-464654.126899999 -1151593.0007 0,-464667.942899998 -1151601.9489 0,-464677.191599999 -1151599.3123 0,-464681.700800002 -1151606.7458 0,-464691.895599999 -1151615.3761 0,-464694.956099998 -1151615.6771 0,-464699.574099999 -1151618.148 0,-464704.8717 -1151620.9826 0,-464711.113400001 -1151621.5746 0,-464713.368000001 -1151625.2913 0,-464722.3347 -1151630.8626 0,-464744.220699999 -1151637.023 0,-464753.266399998 -1151637.7515 0,-464760.7029 -1151639.8473 0,-464792.159600001 -1151638.6104 0,-464805.288199998 -1151610.5214 0,-464840.285 -1151548.2025 0,-464844.889800001 -1151545.1326 0,-464843.627599999 -1151530.0361 0,-464843.954399999 -1151529.6552 0,-464830.170000002 -1151519.73 0,-464794.310800001 -1151496.6688 0,-464755.680100001 -1151480.5727 0,-464698.538899999 -1151478.9631 0,-464666.572999999 -1151478.9631 0,-464663.1274 -1151478.9631 0,-464610.108899999 -1151487.3047 0,-464556.211100001 -1151487.373 0)))","27",{7B30EE9F-F158-4687-B444-886FCAB9B70C},2019SL2412189b1,"2189",b,"1",SL241,"2019","2028",MAKOV-VYSOKÁ,{8F4120A6-F7EB-40F5-9C8C-FFA7E5983AB5},"63399.00000000000",,"0","0",,,,"1106",H,"1",2019SL2412189b1_,"149",ČADCA,2020/01/27,,MAKOV-VYSOKÁ,8F4120A6-F7EB-40F5-9C8C-FFA7E5983AB5,"0","120",Lesné porasty,"0","63399","Lesta - Trojačka, s.r.o., Makov, IČO: 31619894","108029","Trojačka 60, 023 56  Makov","Gombárik Róbert, Ing.","302485","1954.92933088000","63397.19836300000"
"MULTIPOLYGON Z (((-459921.575100001 -1149603.2007 0,-459901.616500001 -1149605.2478 0,-459856.069899999 -1149584.2656 0,-459855.132300001 -1149583.4267 0,-459854.498100001 -1149586.3323 0,-459851.511999998 -1149599.888 0,-459892.491999999 -1149611.318 0,-459910.168000001 -1149607.176 0,-459917.510000002 -1149608.23 0,-459925.208999999 -1149610.977 0,-459924.217399999 -1149621.1097 0,-459926.969999999 -1149621.03 0,-459970.030000001 -1149605.27 0,-459969.27 -1149604.52 0,-459938.761999998 -1149572.3839 0,-459921.0634 -1149585.2891 0,-459921.575100001 -1149603.2007 0)),((-459745.4551 -1149493.3669 0,-459734.469999999 -1149517.67 0,-459727.52 -1149533.04 0,-459745.5297 -1149532.0661 0,-459778.794100001 -1149513.6427 0,-459788.5176 -1149513.6427 0,-459809.499699999 -1149541.7895 0,-459811.680300001 -1149536.1285 0,-459814.118999999 -1149508.781 0,-459793.206 -1149491.362 0,-459768.727000002 -1149484.239 0,-459745.4551 -1149493.3669 0)))","31",{7B30EE9F-F158-4687-B444-886FCAB9B70C},2019SL2412078_3,"2078",_,"3",SL241,"2019","2028",MAKOV-VYSOKÁ,{D3C89409-A4E2-4C36-A99B-FF9D4C926EEF},"4573.00000000000",,"0","0",,,,"1101",H,"1",2019SL2412078_3_,"149",ČADCA,2020/01/27,,MAKOV-VYSOKÁ,D3C89409-A4E2-4C36-A99B-FF9D4C926EEF,"0","15",Lesné porasty,"0","4573",Belko Dalibor,"149689","Turzovka- Stred 422, 023 54  Turzovka","Hanzel Jozef, Ing.","302846","564.26659872900","4573.19620862000"
"MULTIPOLYGON Z (((-455694.907600001 -1152863.6834 0,-455698.243999999 -1152864.637 0,-455715.910100002 -1152861.5207 0,-455705.0185 -1152831.4286 0,-455687.070999999 -1152831.0826 0,-455661.716600001 -1152819.057 0,-455661.374499999 -1152822.7977 0,-455676.5878 -1152835.2453 0,-455681.9782 -1152841.4057 0,-455694.605799999 -1152855.8373 0,-455694.907600001 -1152863.6834 0)),((-455725.5009 -1152507.1518 0,-455739.352600001 -1152507.5918 0,-455749.392200001 -1152502.22 0,-455750.934500001 -1152480.1118 0,-455734.603399999 -1152464.5839 0,-455721.296799999 -1152456.8829 0,-455710.1193 -1152451.2941 0,-455701.869199999 -1152454.7539 0,-455680.513300002 -1152464.3142 0,-455680.190000001 -1152469.58 0,-455676.230999999 -1152494.3398 0,-455701.337000001 -1152504.7866 0,-455711.3116 -1152507.1518 0,-455725.5009 -1152507.1518 0)),((-455683.625 -1152240.6228 0,-455690.18 -1152306.9 0,-455688.146000002 -1152340.0214 0,-455687.6822 -1152347.5746 0,-455713.8675 -1152350.7236 0,-455713.557300001 -1152340.0214 0,-455712.661600001 -1152338.9221 0,-455710.4976 -1152336.2663 0,-455710.342500001 -1152336.0759 0,-455703.824000001 -1152328.0761 0,-455719.751200002 -1152309.052 0,-455741.167300001 -1152295.3177 0,-455760.4538 -1152282.9493 0,-455767.090100002 -1152287.3734 0,-455767.090100002 -1152294.0098 0,-455775.3453 -1152297.8495 0,-455784.539999999 -1152251.08 0,-455779.57 -1152210.12 0,-455786.510000002 -1152158.28 0,-455799.739999998 -1152043.29 0,-455796.760699999 -1152006.3348 0,-455766.353999998 -1152001.224 0,-455765.5033 -1151973.7816 0,-455765.7872 -1151969.6189 0,-455744.420200001 -1151989.953 0,-455676.474100001 -1152006.3238 0,-455676.247900002 -1152018.6685 0,-455676.072700001 -1152028.2308 0,-455675.0704 -1152082.9409 0,-455673.969999999 -1152143 0,-455683.625 -1152240.6228 0)))","35",{7B30EE9F-F158-4687-B444-886FCAB9B70C},2019SL2412015a4,"2015",a,"4",SL241,"2019","2028",MAKOV-VYSOKÁ,{4FE7D8DE-62AE-44FC-B6DB-FF96BCFDA9F6},"38252.00000000000",,"0","0",,,,"1101",H,"1",2019SL2412015a4_,"149",ČADCA,2020/01/27,,MAKOV-VYSOKÁ,4FE7D8DE-62AE-44FC-B6DB-FF96BCFDA9F6,"0","10",Lesné porasty,"0","38252",Pavlík Milan,"103920","Vysoká 766, 023 55  Vysoká","Turiak Jozef, Ing.","302500","1317.61130377000","38252.30034520000"
"MULTIPOLYGON Z (((-461285.008400001 -1151821.1781 0,-461250 -1151824.04 0,-461230.4628 -1151825.6394 0,-461261.3979 -1151848.296 0,-461249.780000001 -1151874.15 0,-461237.910300002 -1151890.5088 0,-461242.573199999 -1151890.9844 0,-461267.877500001 -1151893.5657 0,-461281.2608 -1151900.7034 0,-461283.045200001 -1151914.9789 0,-461271.446400002 -1151927.47 0,-461258.9553 -1151936.3922 0,-461245.572000001 -1151939.0688 0,-461231.296599999 -1151961.3743 0,-461217.0211 -1151961.3743 0,-461199.1767 -1151954.2365 0,-461195.607799999 -1151967.6198 0,-461189.362300001 -1151979.2186 0,-461176.412 -1151990.82 0,-461181.732099999 -1152000 0,-461169.435400002 -1152019.2034 0,-461148.054499999 -1152047.7113 0,-461172.138799999 -1152070.3211 0,-461204.5788 -1152061.4738 0,-461204.43 -1152076.7 0,-461204.426199999 -1152076.7086 0,-461230.899999999 -1152085.4 0,-461265 -1152082.6 0,-461317.399999999 -1152070 0,-461326.899999999 -1152057.4 0,-461360 -1152050.5 0,-461366.334899999 -1152051.6953 0,-461372.3257 -1152043.9074 0,-461382.199000001 -1152037.8843 0,-461387.9197 -1152025.5354 0,-461394.468899999 -1152016.6163 0,-461406.5086 -1152014.9367 0,-461425.203299999 -1152010.1788 0,-461435.420899998 -1152006.2821 0,-461448.239999998 -1152003.5639 0,-461463.807300001 -1152002.2341 0,-461479.298 -1152007.4468 0,-461499.839699998 -1152011.5254 0,-461512.510200001 -1152009.7131 0,-461523.843600001 -1152007.3677 0,-461533 -1152022.7 0,-461536.993700001 -1152021.8649 0,-461547.289999999 -1152019.711 0,-461547.371399999 -1152013.7681 0,-461547.501899999 -1152004.2423 0,-461547.559999999 -1152000 0,-461547.570999999 -1151996.4379 0,-461547.710000001 -1151951.68 0,-461564.09 -1151925.81 0,-461597.640000001 -1151911.27 0,-461611.34 -1151868.34 0,-461540.77 -1151848.19 0,-461497.481899999 -1151844.8263 0,-461477.84 -1151843.3 0,-461441.656800002 -1151835.3584 0,-461425.8893 -1151831.8977 0,-461419.838199999 -1151830.5696 0,-461419.02 -1151830.39 0,-461415.452300001 -1151829.0381 0,-461413.7434 -1151830.7343 0,-461386.096000001 -1151858.176 0,-461375.129799999 -1151847.8784 0,-461367.252999999 -1151840.482 0,-461362.441500001 -1151846.823 0,-461322.329999998 -1151899.685 0,-461301.478999998 -1151885.277 0,-461319.1985 -1151826.184 0,-461321.5964 -1151818.1871 0,-461320.312600002 -1151818.292 0,-461296.183499999 -1151820.2645 0,-461285.008400001 -1151821.1781 0)))","38",{7B30EE9F-F158-4687-B444-886FCAB9B70C},2019SL2412128b1,"2128",b,"1",SL241,"2019","2028",MAKOV-VYSOKÁ,{1C689F7B-7CDB-4023-B410-FF8F740A972E},"68624.00000000000",,"0","0",,,,"1136",H,"1",2019SL2412128b1_,"149",ČADCA,2020/01/27,,MAKOV-VYSOKÁ,1C689F7B-7CDB-4023-B410-FF8F740A972E,"2","50",Lesné porasty,"0","68624",Hazuka Ján,"112847","Vysoká nad Kysucou 1158, 023 55  Vysoká nad Kysucou",Medveď Ivan,"301377","1540.43570464000","68705.11187810000"
